serial_number,uid,type_slug,status_slug,condition_slug,model,condition,created_at,updated_at
NA,64,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,65,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,66,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,67,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,68,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,69,MINISCOOTER,AVAILABLE,GOOD,Kugoo Kirin M3,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,70,MOBIL40,AVAILABLE,GOOD,Berg Gran Tour Offroad,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,71,MOBILKIDS,AVAILABLE,GOOD,Berg Buddy orange,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,72,MOBILKIDS,AVAILABLE,GOOD,Berg Buddy orange,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,73,MOBIL10,AVAILABLE,GOOD,Berg X-Cross,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,74,MOBIL10,AVAILABLE,GOOD,Berg X-Cross,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,75,MOBIL20,AVAILABLE,GOOD,Berg Duo Chopper,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,76,MOBIL20,AVAILABLE,GOOD,Berg Duo Chopper,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,77,MOBIL20,AVAILABLE,GOOD,Berg Duo Chopper,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,79,MOBIL5,AVAILABLE,GOOD,Berg Compact Sport,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,80,BIKE27,AVAILABLE,GOOD,Cube,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,82,BIKE27,AVAILABLE,GOOD,Specialized,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,83,BIKE27,AVAILABLE,GOOD,Giant,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,85,BIKE27,AVAILABLE,GOOD,Racer XC 90 ,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,87,BIKE27,AVAILABLE,GOOD,Specialized,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,91,BIKE29,AVAILABLE,GOOD,Merida Drakar Big 29,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,99,BIKE29,AVAILABLE,GOOD,Fuji черный,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
NA,100,BIKE29,AVAILABLE,GOOD,Fuji,,2026-06-17 20:38:00+00,2026-06-17 20:38:00+00
